title,poster_url,trailer_url
Престиж,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/7/5/6/1068657/298b9efdeb667378e688383751e1db15.jpg,https://www.kinoafisha.info/trailers/9b78ebceccfb93d8ca29011e1ae8c9d5/
Остров проклятых,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/3/5/3/5280353/538578365552.jpg,https://www.kinoafisha.info/trailers/6657dd990d73c86c74c38294a0459542/
Чужие,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/4/7/3/5411374/8d6c1c633eb147ee55c47210f79cb328.jpeg,https://www.kinoafisha.info/trailers/6755a0dafac1a72502a4f8c3b5d72a16/
Изгой,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/7/2/6/4983627/a9aba2601dbe664b9458fd5d0f669b32.jpg,https://www.kinoafisha.info/trailers/44f73dff1b45f018c61d5d84dcb5e934/
Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/6/2/7/8362726/c7193f850f6234a8fda4e48a697158ce.jpg,
"Поймай меня, если сможешь",https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/9/3/2/5239/5c003eae7be3a3748b4d47926bba7516.jpg,https://www.kinoafisha.info/trailers/118041d308ab84ab8ab801634cbab9cf/
Отступники,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/8/8/4/923488/90483774e6a144ab6123e10cc17700fc.jpg,https://www.kinoafisha.info/trailers/cd02ac893f7af642fec2029e6a2bb99a/
Титаник,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/6/4/7/8119746/5967498e8951708d7564c60aea1c2488.jpg,https://www.kinoafisha.info/trailers/ff82204332a609843e7a01f58c19c8e0/
Джокер,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/8/2/9/8354928/6e46d9802255fb273e7d65953baf4cc8.jpeg,https://www.kinoafisha.info/trailers/fba6122c85dd6caefa8c2eb3c241d391/
Крепкий орешек,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/4/4/7/5038744/e3b29b948cb1522193b87bf6441c8ca2.jpeg,https://www.kinoafisha.info/trailers/0d4a970673c702a0ab268880e9fd0a0f/
